SYMB,ED,TRAN,ANUM,BNUM,CNUM,TYPE
SPMO,20240909,BUY,86.47452,1416,0,Stock
SPMO,20250313,SELL,93.14331921,1416,0,Stock
QLD,20250321,BUY,46.164,324,0,Stock
TSLZ,20250321,BUY,108.432,138.9,0,Stock
UGL,20250324,BUY,30.444,3460,0,Stock
IAU,20250324,BUY,57.328,1839,0,Stock
TSLZ,20250818,SELL,26.5400288,138.9,0,Stock
QLD,20250818,SELL,64.14737655,324,0,Stock
IAU,20251024,SELL,77.78760196,1839,0,Stock
UGL,20251027,SELL,52.20036127,3460,0,Stock
IAU,20260108,BUY,83.67336,3000,0,Stock
NUGT,20260113,BUY,226.6630272,294,0,Stock
UGL,20260113,BUY,63.84436047,1032,0,Stock
IAU,20260113,BUY,86.71548103,1476,0,Stock
UGL,20260203,Sell,70.1,1032,0,Stock
NUGT,20260203,Sell,239.03,294,0,Stock
MSTZ,20260210,BUY,14.55,2083,0,Stock
TNA,20260210,BUY,55.38,1919,0,Stock
SQQQ,20260210,BUY,70.69,1370,0,Stock
ETHD,20260210,BUY,84,511,0,Stock
ETHD,20260302,SELL,83.63412916,511,0,Stock
MSTZ,20260302,SELL,13.11732117,2083,0,Stock
TNA,20260302,SELL,50.43744138,1919,0,Stock
UGL,20260302,BUY,81.94422857,4375,0,Stock
UGL,20260317,SELL,71.07398857,4375,0,Stock
IAU,20260320,SELL,91.38300045,4476,0,Stock
SQQQ,20260320,SELL,72.71777372,1370,0,Stock
XLE,20260326,BUY,61.20384118,3715,0,Stock
XLI,20260326,BUY,164.4227123,424,0,Stock
XLU,20260326,BUY,45.28040078,1547,0,Stock
XLB,20260326,BUY,49.38676076,1417,0,Stock
SQQQ,20260326,BUY,79.68619292,1949,0,Stock
GGLS,20260326,BUY,7.39522196,20747,0,Stock
GLD,20260326,BUY,409.5735833,360,0,Stock
XLE,20260415,SELL,55.07766114,2715,0,Stock
XLI,20260415,SELL,169.943973,370,0,Stock
